,date,prophet_forecast,xgboost_forecast,ensemble_forecast
0,2025-01-21,5816.14408634468,3369.523,4348.171404069122
1,2025-01-22,5320.1314685630905,3370.6506,4154.823824090898
2,2025-01-23,5225.721240035636,3370.6506,4121.016272852371
3,2025-01-24,5347.724112947572,3370.6506,4174.808611284575
4,2025-01-25,2433.048317842996,3371.2944,2987.5623143428793
5,2025-01-26,1448.2420481075571,3371.2944,2580.466149225271
6,2025-01-27,6307.509850717183,3371.2944,4585.370021797597
7,2025-01-28,3376.630797630861,3373.333,3374.703999085302
8,2025-01-29,5765.333683312013,3373.333,4373.135537347128
9,2025-01-30,5848.02582577978,3373.333,4413.260102104368
10,2025-01-31,6106.838524099648,3373.333,4528.162304581003
11,2025-02-01,3236.40258052506,3380.7883,3319.4649443128906
12,2025-02-02,2250.0671754057357,3380.7883,2898.0085112292395
13,2025-02-03,7103.136420534227,3380.7883,4978.470319464901
14,2025-02-04,6730.10436903293,3381.5774,4826.335099273232
15,2025-02-05,6241.006289437014,3380.5718,4621.164723038131
16,2025-02-06,6097.522544238467,3379.084,4564.201019461545
17,2025-02-07,6109.593171442382,3379.084,4575.599246123628
18,2025-02-08,2955.752461004287,3378.924,3192.5383738224286
19,2025-02-09,1726.6078326830561,3378.924,2647.4492426077236
20,2025-02-10,6440.4865699881375,3378.924,4741.1473858590125
21,2025-02-11,5923.122071176499,3376.8867,4515.540280846345
22,2025-02-12,5352.0471814401535,3376.8867,4264.599286251193
23,2025-02-13,5198.639625703047,3376.8867,4199.74589694677
24,2025-02-14,5269.43007746259,3376.8867,4235.973816412794
25,2025-02-15,2199.3728263390685,3376.8867,2839.7286959198445
26,2025-02-16,1124.43060196566,3376.8867,2344.300094426392
27,2025-02-17,6092.806085927695,3376.1147,4627.624239725118
28,2025-02-18,5790.224303972306,3376.1147,4493.65759760607
29,2025-02-19,5435.166698747616,3376.1147,4333.920935305773
30,2025-02-20,5489.043762832374,3374.1528,4362.686121034922
31,2025-02-21,5743.578398164938,3374.1528,4486.984165338983
32,2025-02-22,2787.4930262500507,3375.2805,3097.8976565019548
33,2025-02-23,1807.7813324125923,3375.2805,2632.039330904131
34,2025-02-24,6895.303340730857,3375.2805,5052.235210855381
35,2025-02-25,6613.818090356685,3375.9243,4925.747628431964
36,2025-02-26,6243.822887942734,3375.9243,4755.0935171002
37,2025-02-27,6258.491852286718,3375.9243,4768.62548542715
38,2025-02-28,6454.910150581442,3377.2322,4871.116317363513
39,2025-03-01,3392.322241652449,3380.125,3386.0728684013066
40,2025-03-02,2320.7817918849328,3380.125,2861.1658553503717
41,2025-03-03,7380.453590678936,3380.125,5348.826036761095
42,2025-03-04,7014.416928119702,3380.914,5177.252557862549
43,2025-03-05,6561.75347811589,3379.9084,4960.1056423620485
44,2025-03-06,6500.395052967378,3378.4207,4935.900017229126
45,2025-03-07,6623.677267868344,3378.4207,5004.695316828195
46,2025-03-08,593.5106705885296,3378.2607,1976.4989083938608
47,2025-03-09,2289.0600022517838,3378.2607,2827.5412669391044
48,2025-03-10,7318.700920422675,3378.2607,5379.473057426038
49,2025-03-11,6859.709329603399,3376.8867,5153.517578668476
50,2025-03-12,6309.78318658386,3376.8867,4879.584234853641
51,2025-03-13,6154.84387233418,3376.8867,4806.4421977854545
52,2025-03-14,6190.257150597091,3376.8867,4830.988290266474
53,2025-03-15,2904.3696363986005,3376.8867,3131.6025703833184
54,2025-03-16,1663.6962540297736,3376.8867,2483.7177573677695
55,2025-03-17,6700.832517795686,3376.1147,5116.922028805101
56,2025-03-18,6215.298367960483,3376.1147,4869.07871804165
57,2025-03-19,5664.907643401275,3376.1147,4584.803130065139
58,2025-03-20,5541.580222282265,3374.1528,4523.61994236662
59,2025-03-21,5637.198235575134,3374.1528,4579.415215491701
60,2025-03-22,2399.704128802874,3375.2805,2853.511572570238
61,2025-03-23,1246.7703409977119,3375.2805,2232.1031418416783
62,2025-03-24,6448.508326582717,3375.2805,5032.751695468241
63,2025-03-25,6073.048831973953,3375.9243,4836.614222590108
64,2025-03-26,5627.911002514958,3375.9243,4600.600222110312
65,2025-03-27,5603.19806069282,3375.9243,4592.165934072849
66,2025-03-28,5782.9429786088285,3377.2322,4696.318549449806
67,2025-03-29,2574.2324295426984,3377.2322,2935.131192774913
68,2025-03-30,1449.3809925889311,3377.2322,2311.4987135865567
69,2025-03-31,6723.018986447135,3377.2322,5234.331822121008
70,2025-04-01,6341.605627346626,3379.5544,5030.315552637663
71,2025-04-02,5873.708645234331,3379.5544,4775.159828228732
72,2025-04-03,5819.34153270983,3379.5544,4750.221347488844
73,2025-04-04,5965.552680585142,3380.3435,4838.5176695811
74,2025-04-05,2687.4718130115198,3379.338,2987.539572515793
75,2025-04-06,1518.154580361773,3377.391,2320.3420282730976
76,2025-04-07,6819.576002105421,3377.391,5342.1438363404395
77,2025-04-08,6416.010298412337,3377.2312,5118.554054646746
78,2025-04-09,5933.557357492148,3377.2312,4847.836810201066
79,2025-04-10,5876.306824834297,3377.2312,4820.517572590397
80,2025-04-11,6027.109411636177,3377.133,4913.5238422335515
81,2025-04-12,2721.6129516956767,3377.133,2995.6056247737897
82,2025-04-13,1546.8342146102839,3377.133,2307.7449691622237
83,2025-04-14,6906.969341890476,3377.133,5447.441529562448
84,2025-04-15,6501.291427310627,3377.133,5216.52517600139
85,2025-04-16,6013.234068231398,3377.133,4935.098373603261
86,2025-04-17,5953.315187204243,3376.361,4905.160821624926
87,2025-04-18,6104.6578301212985,3376.361,5001.077123818723
88,2025-04-19,2769.275882938691,3376.361,3013.474199763809
89,2025-04-20,1594.4232623566063,3374.3992,2306.4136253827137
